,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Minor Code (TR),,He/She is a <adj> <occupation>. / O <adj> bir <occupation>.,,,,1461,1455,1439,1487,1507
31-9095,31,9095,Pharmacy Aides,Pharmacy Clerk,5,Eczane işçisi,He's a drugstore worker.,He's a very good pharmacy worker.,He's a good pharmacy worker.,He's a bad pharmacy worker.,He's a terrible drugstore worker.,he,he,he,he,he
31-9095,31,9095,Pharmacy Aides,Prescription Clerk,2,Majistral Eczacı,He's a majistral pharmacist.,He's a very good majistral pharmacist.,He's a good majistral pharmacist.,He's a bad majistral pharmacist.,He's a terrible majistral pharmacist.,he,he,he,he,he
31-9096,31,9096,Veterinary Assistants and Laboratory Animal Caretakers,Veterinarian Assistant,3,Veteriner Yardımcısı,He's a veterinarian.,He's a very good veterinarian.,He's a good veterinarian.,He's a bad veterinarian.,He's a terrible veterinarian.,he,he,he,he,he
31-9096,31,9096,Veterinary Assistants and Laboratory Animal Caretakers,Veterinary Attendant,5,Veterinerlik Hizmetleri işçisi,He's a veterinary worker.,He's a very good veterinary service worker.,He's a good veterinary worker.,He's a bad veterinary worker.,He's a terrible veterinary worker.,he,he,he,he,he
31-9099,31,9099,"Healthcare Support Workers, All Other",Ortho/Prosthetic Aide,3,Diş Protez Yardımcı Personeli,He's a dental prosthetic staff.,He's a very good dental prosthetic staff.,He's a good dental prosthetic staff.,He's a bad dental prosthetic staff.,He's a terrible dental prosthetic staff.,he,he,he,he,he
33-1012,33,1012,First-Line Supervisors of Police and Detectives,Police Lieutenant,1,Emniyet Amiri,He's a police chief.,He's a very good police chief.,He's a good police chief.,He's a bad police chief.,He's a terrible police chief.,he,he,he,he,he
33-1012,33,1012,First-Line Supervisors of Police and Detectives,Traffic Lieutenant,5,Trafik Polisi,He's a traffic cop.,He's a very good traffic cop.,He's a good traffic cop.,He's a bad traffic cop.,He's a very bad traffic cop.,he,he,he,he,he
33-1021,33,1021,First-Line Supervisors of Fire Fighting and Prevention Workers,Fire Lieutenant,5,itfaiye Başçavuşu,He's a fire sergeant.,He's a very good fire sergeant.,He's a good fire sergeant.,He's a bad fire sergeant.,He's a terrible fire sergeant.,he,he,he,he,he
33-1021,33,1021,First-Line Supervisors of Fire Fighting and Prevention Workers,Supervising Fire Marshal,1,itfaiye Müdürü,He's a fire department.,He's a very good firefighter.,He's a good firefighter.,He's a bad firefighter.,He's a very bad firefighter.,he,he,he,he,he
33-1091,33,1091,First-Line Supervisors of Security Workers,Security Guard Supervisor,5,Güvenlik Amiri,He's a security chief.,He's a very good security chief.,He's a good security chief.,He's a bad security chief.,He's a terrible security chief.,he,he,he,he,he
33-2011,33,2011,Firefighters,Fire Fighter,5,itfaiyeci,He's a fireman.,He's a very good fireman.,He's a good fireman.,He's a bad fireman.,He's a terrible fireman.,he,he,he,he,he
33-2011,33,2011,Firefighters,Forest Firefighter,5,Orman itfaiyecisi,He's a forest fireman.,He's a very good forest fireman.,He's a good forest fireman.,He's a bad forest fireman.,He's a very bad forest fireman.,he,he,he,he,he
33-2022,33,2022,Forest Fire Inspectors and Prevention Specialists,Forest Fire Officer,5,Orman Muhafaza Memuru,He's a forest conservation officer.,He's a very good forest conservation officer.,He's a good forest conservation officer.,He's a bad forest conservation officer.,He's a very bad forest conservation officer.,he,he,he,he,he
33-3011,33,3011,Bailiffs,City Bailiff,1,icra Müdürü,He's an executive director.,He's a very good executive director.,He is a good executive director.,He's a bad executive director.,He's a very bad executive director.,he,he,he,he,he
33-3011,33,3011,Bailiffs,Court Bailiff,3,Mübaşir,He's a bailiff.,He's a very good bailiff.,He's a good bailiff.,He's a bad bailiff.,He's a terrible bailiff.,he,he,he,he,he
33-3012,33,3012,Correctional Officers and Jailers,Correction Officer,5,infaz ve Koruma Memuru,He's an execution and protection officer.,He's a very good execution and protection officer.,He's a good execution and bodyguard.,He's a bad execution and bodyguard.,He's a terrible execution and bodyguard.,he,he,he,he,he
33-3021,33,3021,Detectives and Criminal Investigators,Homicide Detective,3,Dedektif,He's a detective.,He's a very good detective.,He's a good detective.,He's a bad detective.,He's a terrible detective.,he,he,he,he,he
33-3021,33,3021,Detectives and Criminal Investigators,Narcotics Detective,5,Narkotik Polisi,He's a narc cop.,He's a very good narc cop.,He's a good narcotics cop.,He's a bad narcotics cop.,He's a terrible narcotics cop.,he,he,he,he,he
33-3051,33,3051,Police and Sheriff's Patrol Officers,Policeman,5,Polis Memuru,He's a police officer.,He's a very good police officer.,He's a good police officer.,He's a bad police officer.,He's a very bad police officer.,he,he,he,he,he
33-3052,33,3052,Transit and Railroad Police,Track Patrol,8,Demiryolu Yol Bekçisi,He's a railroad ranger.,He's a very good railroad keeper.,He's a good railroad custodian.,He's a bad railroad keeper.,He's a terrible railroad gatekeeper.,he,he,he,he,he
33-9032,33,9032,Security Guards,Armed Guard,5,Silahlı Güvenlik Görevlisi,He's an armed security guard.,He's a very good armed security guard.,He's a good armed security guard.,He's a bad armed security guard.,He's a terrible armed security guard.,he,he,he,he,he
33-9032,33,9032,Security Guards,Bank Guard,5,Banka Güvenlik Görevlisi,He's a bank security guard.,He's a very good bank security guard.,He's a good bank security guard.,He's a bad bank security guard.,He's a terrible bank security guard.,he,he,he,he,he
33-9032,33,9032,Security Guards,Bodyguard,5,Bodyguart,It's a bodyguart.,That's a very good bodyguart.,That's a good bodyguart.,That's a bad bodyguart.,That's a terrible bodyguart.,it,that,that,that,that
33-9032,33,9032,Security Guards,Bouncer,5,Bekçi,He's a guard.,He's a very good guard.,He's a good guard.,He's a bad guard.,He's a terrible watchman.,he,he,he,he,he
33-9032,33,9032,Security Guards,Private Watchman,5,Özel Güvenlik ve Koruma Meslek Elemanı,He's a private security and protection professional.,He's a very good private security and protection professional.,He's a good private security and protection professional.,He's a bad private security and bodyguard.,He's a very bad private security and protection professional.,he,he,he,he,he
33-9032,33,9032,Security Guards,Security Officer,5,Güvenlik Görevlisi,He's a security guard.,He's a very good security guard.,He's a good security guard.,He's a bad security guard.,He's a terrible security guard.,he,he,he,he,he
33-9092,33,9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Life Guard,5,Cankurtaran,He's a lifeguard.,He's a very good lifeguard.,He's a good lifeguard.,He's a bad lifeguard.,He's a terrible lifeguard.,he,he,he,he,he
35-1011,35,1011,Chefs and Head Cooks,Banquet Chef,5,Aşçı,She's a cook.,She's a very good cook.,She's a good cook.,She's a bad cook.,She's a terrible cook.,she,she,she,she,she
35-1011,35,1011,Chefs and Head Cooks,Kitchen Chef,3,Mutfak Şefi,He's a kitchen chef.,He's a very good kitchen chef.,He's a good kitchen chef.,He's a bad kitchen chef.,He's a terrible kitchen chef.,he,he,he,he,he
35-1011,35,1011,Chefs and Head Cooks,Master Chef,3,Aşçıbaşı,She's a chef.,She's a very good cook.,She's a good cook.,She's a bad cook.,She's a very bad cook.,she,she,she,she,she
35-1011,35,1011,Chefs and Head Cooks,Sous Chef,5,Aşçı Yardımcısı,She's a cook assistant.,She's a very good cook assistant.,She's a good cook assistant.,She's a bad cook assistant.,She's a very bad cook assistant.,she,she,she,she,she
35-1011,35,1011,Chefs and Head Cooks,Sushi Chef,9,Suşi Ustası,He's a sushi master.,He's a very good sushi master.,He's a good sushi master.,He's a bad sushi master.,He's a terrible sushi master.,he,he,he,he,he
35-1012,35,1012,First-Line Supervisors of Food Preparation and Serving Workers,Bar Manager,1,Bar Müdürü,He's a bar manager.,He's a very good bar manager.,He's a good bar manager.,He's a bad bar manager.,He's a terrible bar manager.,he,he,he,he,he
35-1012,35,1012,First-Line Supervisors of Food Preparation and Serving Workers,Head Waiter,5,Şef Garson,He's a chef waiter.,He's a very good chef waiter.,He's a good chef waiter.,He's a bad chef waiter.,He's a terrible chef waitress.,he,he,he,he,he
35-2011,35,2011,"Cooks, Fast Food",Fast Food Cook,9,Fast Food Hazırlayıcısı,He's a fast food maker.,He's a very good fast food maker.,He's a good fast food maker.,He's a bad fast food maker.,He's a terrible fast food maker.,he,he,he,he,he
35-2013,35,2013,"Cooks, Private Household",Private Chef,5,Özel Hizmet Aşçı,She's a private service cook.,She's a very good private service cook.,She's a good private service cook.,She's a bad private service cook.,She's a very bad private service cook.,she,she,she,she,she
35-2014,35,2014,"Cooks, Restaurant",Breakfast Cook,3,Kahvaltı Şefi,He's a breakfast chef.,He's a very good breakfast chef.,He's a good breakfast chef.,He's a bad breakfast chef.,He's a terrible breakfast chef.,he,he,he,he,he
35-2021,35,2021,Food Preparation Workers,Fruit and Vegetable Parer,7,Meyve Sebze Ayıklama işçisi,He's a fruit vegetable extraction worker.,He's a very good fruit vegetable extraction worker.,He's a good fruit vegetable extraction worker.,He's a bad fruit vegetable extraction worker.,He's a terrible fruit vegetable extraction worker.,he,he,he,he,he
35-2021,35,2021,Food Preparation Workers,Salad Maker,5,Salatacı ,He's a salad maker.,He's a very good salad.,He's a good salad.,He's a bad salad.,He's a terrible salad.,he,he,he,he,he
35-3011,35,3011,Bartenders,Barkeep,5,Bar Görevlisi,He's a bar clerk.,He's a very good bar clerk.,He's a good bar attendant.,He's a bad bar attendant.,He's a terrible bar attendant.,he,he,he,he,he
35-3023,35,3023,Fast Food and Counter Workers,Barista,8,Barista,He's a barista.,He's a very good barista.,He's a good barista.,He's a bad barista.,He's a terrible barista.,he,he,he,he,he
35-3023,35,3023,Fast Food and Counter Workers,Cafeteria Server,9,Yemekhane servis işçisi,He's a cafeteria service worker.,He's a very good caterer service worker.,He's a good caterer service worker.,He's a bad caterer service worker.,He's a terrible caterer service worker.,he,he,he,he,he
35-3023,35,3023,Fast Food and Counter Workers,Food Counter Worker,5,Yiyecek Servis Tezgahı Çalışanı,He's a food service counter employee.,He's a very good food service counter worker.,He's a good food service counter employee.,He's a bad food service counter employee.,He's a terrible food service counter employee.,he,he,he,he,he
35-3023,35,3023,Fast Food and Counter Workers,Ice Cream Server,5,Dondurmacı,He's an ice cream man.,He's a very good ice cream man.,He's a good ice cream man.,He's a bad freezer.,He's a terrible freezer.,he,he,he,he,he
35-3023,35,3023,Fast Food and Counter Workers,Snack Bar Attendant,1,Snack Bar işletmecisi,He's a snack bar operator.,He's a very good snack bar operator.,He's a good snack bar manager.,He's a bad snack bar operator.,He's a terrible snack bar operator.,he,he,he,he,he
35-3031,35,3031,Waiters and Waitresses,Restaurant Server,5,Garson ,He's a waiter.,He's a very good waiter.,He's a good waiter.,He's a bad waiter.,He's a terrible waiter.,he,he,he,he,he
35-3031,35,3031,Waiters and Waitresses,Wine Steward,5,Şarap Servisi Garson,He's a wine service waiter.,He's a very good wine service waiter.,He's a good wine service waiter.,He's a bad wine service waiter.,He's a very bad wine service waiter.,he,he,he,he,he
35-9011,35,9011,Dining Room and Cafeteria Attendants and Bartender Helpers,Banquet Set Up Person,9,Yemekhane işçisi,He's a cafeteria worker.,He's a very good restaurant worker.,He's a good caterer.,He's a bad caterer.,He's a very bad caterer.,he,he,he,he,he
35-9011,35,9011,Dining Room and Cafeteria Attendants and Bartender Helpers,Barback,5,Bar Servis Elemanı,He's a bar service guy.,He's a very good bar service guy.,He's a good bar service guy.,He's a bad bar service guy.,He's a terrible bar service guy.,he,he,he,he,he
35-9011,35,9011,Dining Room and Cafeteria Attendants and Bartender Helpers,Buffet Attendant,5,Büfeci,He's a bugger.,He's a very good bugger.,He's a good bugger.,He's a bad bugger.,He's a terrible bugger.,he,he,he,he,he
35-9011,35,9011,Dining Room and Cafeteria Attendants and Bartender Helpers,Busser,5,Servis Komisi,He's a service commissioner.,He's a very good service commissioner.,He's a good service commissioner.,He's a bad service commissioner.,He's a terrible service commissioner.,he,he,he,he,he
35-9021,35,9021,Dishwashers,Dishwasher,9,Bulaşıkçı,She's a dishwasher.,She's a very good dishwasher.,She's a good dishwasher.,He's a bad dishwasher.,He's a terrible dishwasher.,she,she,she,he,he
35-9031,35,9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Bar Host/Hostess,5,Kahvehane işletmecisi,He's a coffee shop manager.,He's a very good coffee shop manager.,He's a good coffee shop manager.,He's a bad coffee shop manager.,He's a very bad coffee shop manager.,he,he,he,he,he
35-9031,35,9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Tearoom Host/Hostess,5,Çay Servis Elemanı,He's a tea-service guy.,He's a very good tea-service guy.,He's a good tea-service guy.,He's a bad tea-service guy.,He's a very bad tea-service guy.,he,he,he,he,he
37-1011,37,1011,First-Line Supervisors of Housekeeping and Janitorial Workers,Head Custodian,5,Temizlik Şefi,He's a cleaning chief.,He's a very good cleaning chief.,He's a good cleaning chief.,He's a bad cleaning chief.,He's a terrible cleaning chief.,he,he,he,he,he
37-1012,37,1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Turf and Grounds Supervisor,9,Çim Saha Görevlisi,He's a field guard.,He's a very good field attendant.,He's a good field attendant.,He's a bad field attendant.,He's a terrible field worker.,he,he,he,he,he
